Player,Tm,FantPos,G,PPR,storage
Deon Yelder,KAN,TE,9,8.0,8.0
Deontay Burnett,PHI,WR,1,6.8,6.8
Deonte Harris*+,NOR,WR,14,15.5,15.5
Derek Carr,OAK,QB,16,244.4,244.4
Derek Carrier,OAK,TE,16,32.5,32.5
Derek Watt,LAC,RB,16,13.2,13.2
Derrick Henry *,TEN,RB,15,294.6,294.6
Derrius Guice,WAS,RB,5,57.4,57.4
Deshaun Watson*,HOU,QB,15,321.0,321.0
Devin Funchess,IND,WR,1,6.2,6.2
Devin Singletary,BUF,RB,12,147.9,147.9
Devin Smith,DAL,WR,4,22.3,22.3
Devine Ozigbo,JAX,RB,10,8.0,8.0
Devlin Hodges,PIT,QB,8,51.3,51.3
Devonta Freeman,ATL,RB,14,197.6,197.6
Devontae Booker,DEN,RB,16,12.6,12.6
Dexter Williams,GNB,RB,4,1.1,1.1
Dion Lewis,TEN,RB,16,66.3,66.3
Diontae Johnson,PIT,WR,16,163.1,163.1
Diontae Spencer,DEN,WR,16,7.7,7.7
Donte Moncrief,2TM,WR,8,5.8,5.8
Dontrell Hilliard,CLE,RB,14,38.1,38.1
Dontrelle Inman,2TM,WR,7,30.1,30.1
Drew Brees*,NOR,QB,11,224.8,224.8
Drew Lock,DEN,QB,5,68.0,68.0
Drew Sample,CIN,TE,9,8.0,8.0
Duke Johnson,HOU,RB,16,154.0,154.0
Duke Williams,BUF,WR,4,34.6,34.6
Durham Smythe,MIA,TE,16,13.5,13.5
Dwayne Harris,OAK,WR,3,1.7,1.7
Dwayne Haskins,WAS,QB,9,76.7,76.7
Dwayne Washington,NOR,RB,16,7.6,7.6
Eli Manning,NYG,QB,4,54.4,54.4
Elijhaa Penny,NYG,RB,16,6.8,6.8
Emmanuel Sanders,2TM,WR,17,190.3,190.3
Eric Ebron,IND,TE,11,86.5,86.5
Eric Saubert,CHI,TE,2,4.1,4.1
Eric Tomlinson,3TM,TE,8,1.1,1.1
Evan Baylis,GNB,N/A,5,0.0,0.0
Evan Engram,NYG,TE,8,109.4,109.4
Ezekiel Elliott*,DAL,RB,16,311.7,311.7
Foster Moreau,OAK,TE,13,68.4,68.4
Frank Gore,BUF,RB,16,94.9,94.9
Fred Brown,DEN,WR,13,4.1,4.1
Gardner Minshew II,JAX,QB,14,229.2,229.2
Garrett Celek,SFO,N/A,5,0.0,0.0
Garrett Dickerson,NYG,N/A,4,0.0,0.0
Garrett Gilbert,CLE,QB,5,-0.3,-0.3
Gary Jennings Jr,MIA,N/A,1,0.0,0.0
Gehrig Dieter,KAN,N/A,2,0.0,0.0
Geoff Swaim,JAX,TE,6,19.5,19.5
George Kittle*+,SFO,TE,14,222.5,222.5
Gerald Everett,LAR,TE,13,89.8,89.8
Geremy Davis,LAC,WR,7,6.8,6.8
Geronimo Allison,GNB,WR,16,75.4,75.4
Giovani Bernard,CIN,RB,16,68.4,68.4
Golden Tate,NYG,WR,11,152.2,152.2
Greg Dortch,CAR,N/A,2,-2.0,-2.0
Greg Olsen,CAR,TE,14,123.7,123.7
Greg Ward,PHI,WR,7,59.9,59.9
Gunner Olszewski,NWE,WR,8,3.4,3.4
Gus Edwards,BAL,RB,16,92.6,92.6
Hale Hentges,WAS,TE,11,24.3,24.3
Hayden Hurst,BAL,TE,16,76.9,76.9
Hunter Henry,LAC,TE,12,150.2,150.2
Hunter Renfrow,OAK,WR,13,133.5,133.5
Ian Thomas,CAR,TE,16,35.6,35.6
Irv Smith Jr.,MIN,TE,16,79.1,79.1
Isaac Nauta,DET,TE,6,3.3,3.3
Isaiah Ford,MIA,WR,8,48.5,48.5
Isaiah McKenzie,BUF,WR,15,63.3,63.3
Ishmael Hyman,TAM,WR,2,5.4,5.4
Ito Smith,ATL,RB,7,36.3,36.3
J.D. McKissic,DET,RB,16,83.8,83.8
J.P. Holtz,2TM,TE,15,16.1,16.1
JJ Arcega-Whiteside,PHI,WR,16,32.9,32.9
JJ Nelson,OAK,WR,2,13.6,13.6
Jace Sternberger,GNB,N/A,6,0.0,0.0
Jack Doyle*,IND,TE,16,111.8,111.8
Jacob Hollister,SEA,TE,11,93.9,93.9
Jacoby Brissett,IND,QB,15,217.7,217.7
Jaeden Graham,ATL,TE,16,29.9,29.9
